SaleID,Time,DrugID,DrugName,DrugClass,Price,ExpDate,Quantity
12005226,04-01-2023 09:04,D0051,Ciprofloxacin,Psychotropic,106,2024-03,6
12005226,04-01-2023 09:04,D0051,Olmesartan,Analgesic,170,2023-10,2
12005227,04-01-2023 09:05,D0049,Donepezil,Antiviral,184,2024-03,5
12005227,04-01-2023 09:05,D0061,Fexofenadine,Hormonal,54,2023-05,6
12005227,04-01-2023 09:05,D0034,Naproxen,Respiratory,50,2024-01,3
12005227,04-01-2023 09:05,D0085,Pantoprazole,Immunosuppressant,50,2023-11,2
12005228,04-01-2023 09:06,D0028,Dorzolamide,Immunosuppressant,28,2024-03,1
12005228,04-01-2023 09:06,D0030,Allopurinol,Gastrointestinal,123,2023-10,8
12005228,04-01-2023 09:06,D0049,Donepezil,Antiviral,184,2024-02,1
12005229,04-01-2023 09:07,D0088,Bupropion,Respiratory,27,2023-08,9
12005229,04-01-2023 09:07,D0071,Fenofibrate,Hormonal,115,2023-07,4
12005229,04-01-2023 09:07,D0032,Esomeprazole,Gastrointestinal,138,2024-01,7
12005229,04-01-2023 09:07,D0095,Tiagabine,Respiratory,96,2024-03,6
12005229,04-01-2023 09:07,D0049,Metoprolol,Diabetes,66,2023-12,5
12005230,04-01-2023 09:08,D0049,Donepezil,Antiviral,184,2023-07,6
12005230,04-01-2023 09:08,D0064,Azithromycin,Psychotropic,191,2023-11,7
12005230,04-01-2023 09:08,D0100,Sitagliptin,Psychotropic,194,2024-03,5
12005230,04-01-2023 09:08,D0022,Amoxicillin,Cardiovascular,31,2023-09,9
12005230,04-01-2023 09:08,D0030,Montelukast,Dermatological,93,2024-02,4
12005231,04-01-2023 09:09,D0030,Hydrochlorothiazide,Cardiovascular,164,2024-03,6
12005231,04-01-2023 09:09,D0085,Pantoprazole,Immunosuppressant,50,2023-11,2
12005232,04-01-2023 09:10,D0029,Nebivolol,Immunosuppressant,79,2023-05,3
12005233,04-01-2023 09:11,D0049,Donepezil,Antiviral,184,2023-05,1
12005233,04-01-2023 09:11,D0068,Aripiprazole,Hormonal,183,2024-03,3
12005233,04-01-2023 09:11,D0032,Esomeprazole,Gastrointestinal,138,2023-10,7
12005233,04-01-2023 09:11,D0042,Saxagliptin,Antibiotic,189,2024-02,4
12005233,04-01-2023 09:11,D0083,Acetaminophen,Neurological,75,2023-10,1
12005234,04-01-2023 09:12,D0073,Doxycycline,Cardiovascular,188,2023-08,6
12005234,04-01-2023 09:12,D0033,Levothyroxine,Oncology,31,2023-06,3
12005234,04-01-2023 09:12,D0012,Ibuprofen,Gastrointestinal,84,2023-06,3
12005234,04-01-2023 09:12,D0004,Duloxetine,Neurological,156,2023-07,3
12005235,04-01-2023 09:13,D0013,Travoprost,Dermatological,198,2023-05,2
12005235,04-01-2023 09:13,D0029,Nebivolol,Immunosuppressant,79,2024-02,5
12005235,04-01-2023 09:13,D0088,Bupropion,Respiratory,27,2023-06,3
12005236,04-01-2023 09:14,D0088,Fluoxetine,Antihistamine,56,2023-12,7
12005236,04-01-2023 09:14,D0019,Warfarin,Antibiotic,28,2023-07,10
12005236,04-01-2023 09:14,D0004,Duloxetine,Neurological,156,2023-09,6
12005237,04-01-2023 09:15,D0075,Risperidone,Antibiotic,129,2023-09,1
12005237,04-01-2023 09:15,D0079,Topiramate,Hormonal,29,2023-06,5
12005237,04-01-2023 09:15,D0065,Trazodone,Psychotropic,45,2023-08,7
12005237,04-01-2023 09:15,D0024,Irbesartan,Immunosuppressant,102,2023-07,4
12005237,04-01-2023 09:15,D0049,Donepezil,Antiviral,184,2023-07,10
12005238,04-01-2023 09:16,D0010,Pravastatin,Dermatological,62,2024-01,5
12005238,04-01-2023 09:16,D0047,Ezetimibe,Psychotropic,140,2023-12,2
12005239,04-01-2023 09:17,D0088,Bupropion,Respiratory,27,2023-11,8
12005239,04-01-2023 09:17,D0019,Amiodarone,Psychotropic,127,2023-10,2
12005239,04-01-2023 09:17,D0061,Fexofenadine,Hormonal,54,2023-11,4
12005240,04-01-2023 09:18,D0060,Lamotrigine,Antihistamine,166,2023-11,7
12005240,04-01-2023 09:18,D0051,Ciprofloxacin,Psychotropic,106,2023-05,3
12005240,04-01-2023 09:18,D0029,Alprazolam,Analgesic,141,2023-12,7
12005240,04-01-2023 09:18,D0076,Enalapril,Antiviral,112,2023-06,7
12005241,04-01-2023 09:19,D0052,Clonazepam,Oncology,181,2023-07,8
12005242,04-01-2023 09:20,D0033,Mirtazapine,Antiviral,158,2023-08,10
12005243,04-01-2023 09:21,D0028,Dorzolamide,Immunosuppressant,28,2024-02,2
12005243,04-01-2023 09:21,D0033,Mirtazapine,Antiviral,158,2023-05,8
12005243,04-01-2023 09:21,D0063,Selegiline,Neurological,82,2023-12,5
12005244,04-01-2023 09:22,D0079,Topiramate,Hormonal,29,2023-06,7
12005244,04-01-2023 09:22,D0073,Quetiapine,Oncology,41,2023-05,10
12005244,04-01-2023 09:22,D0050,Lansoprazole,Analgesic,34,2023-10,5
12005245,04-01-2023 09:23,D0030,Allopurinol,Gastrointestinal,123,2024-02,10
12005245,04-01-2023 09:23,D0030,Montelukast,Dermatological,93,2023-12,2
12005245,04-01-2023 09:23,D0028,Dorzolamide,Immunosuppressant,28,2023-08,8
12005246,04-01-2023 09:24,D0068,Tetracycline,Immunosuppressant,149,2023-11,7
12005247,04-01-2023 09:25,D0059,Venlafaxine,Dermatological,58,2023-06,4
12005247,04-01-2023 09:25,D0063,Selegiline,Neurological,82,2024-02,2
12005247,04-01-2023 09:25,D0021,Clopidogrel,Antiviral,78,2024-02,1
12005247,04-01-2023 09:25,D0083,Gabapentin,Analgesic,170,2023-09,7
12005247,04-01-2023 09:25,D0051,Olmesartan,Analgesic,170,2024-03,1
12005248,04-01-2023 09:26,D0030,Hydrochlorothiazide,Cardiovascular,164,2024-01,3
12005248,04-01-2023 09:26,D0081,Propranolol,Gastrointestinal,140,2024-02,7
12005248,04-01-2023 09:26,D0098,Tamsulosin,Oncology,122,2023-08,10
12005249,04-01-2023 09:27,D0081,Propranolol,Gastrointestinal,140,2023-05,3
12005249,04-01-2023 09:27,D0026,Senna,Immunosuppressant,46,2024-03,8
12005249,04-01-2023 09:27,D0057,Nizatidine,Cardiovascular,50,2023-07,3
12005250,04-01-2023 09:28,D0083,Acetaminophen,Neurological,75,2023-07,7
12005250,04-01-2023 09:28,D0085,Pantoprazole,Immunosuppressant,50,2023-05,5
12005251,04-01-2023 09:29,D0085,Rivastigmine,Hormonal,72,2023-05,2
12005252,04-01-2023 09:30,D0085,Pantoprazole,Immunosuppressant,50,2023-11,9
12005252,04-01-2023 09:30,D0077,Digoxin,Antibiotic,186,2024-03,2
12005252,04-01-2023 09:30,D0052,Cephalexin,Antibiotic,64,2023-09,2
12005252,04-01-2023 09:30,D0083,Pioglitazone,Diabetes,129,2023-08,8
12005252,04-01-2023 09:30,D0075,Risperidone,Antibiotic,129,2024-02,5
12005253,04-01-2023 09:31,D0042,Saxagliptin,Antibiotic,189,2023-11,10
12005253,04-01-2023 09:31,D0049,Metoprolol,Diabetes,66,2024-03,8
12005253,04-01-2023 09:31,D0076,Enalapril,Antiviral,112,2024-01,7
12005254,04-01-2023 09:32,D0073,Quetiapine,Oncology,41,2024-03,6
12005254,04-01-2023 09:32,D0088,Furosemide,Hormonal,138,2024-03,3
12005254,04-01-2023 09:32,D0067,Clindamycin,Respiratory,189,2023-12,4
12005255,04-01-2023 09:33,D0032,Esomeprazole,Gastrointestinal,138,2023-06,8
12005255,04-01-2023 09:33,D0033,Cetirizine,Respiratory,193,2023-05,6
12005256,04-01-2023 09:34,D0033,Mirtazapine,Antiviral,158,2023-08,8
12005257,04-01-2023 09:35,D0001,Amlodipine,Antiviral,160,2023-12,9
12005257,04-01-2023 09:35,D0041,Lorazepam,Neurological,149,2023-10,1
